what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1513403891411
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1513403891414
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1513403891414
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1513403891416
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1513403891416
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1513403891418
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1513403891419
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1513403891420
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1513403891421
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1513403891426
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1513403891430
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1513403891434
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1513403891436
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1513403891436
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1513403891440
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1513403891444
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1513403891447
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1513403891448
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1513403891450
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1513403891451
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1513403891453
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1513403891457
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1513403891457
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1513403891459
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1513403891461
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1513403891463
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1513403891467
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1513403891469
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1513403891471
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1513403891474
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1513403891478
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1513403891481
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1513403891484
started,bundle,org.eclipse.wst.jsdt.core,1.1.4.v201102102045,"org.eclipse.wst.jsdt.core",1513403891486
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1513403891487
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1513403891494
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1513403891497
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1513403891500
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1513403891503
os,sysinfo,,,"macosx",1513403891506
arch,sysinfo,,,"x86_64",1513403891507
ws,sysinfo,,,"cocoa",1513403891507
locale,sysinfo,,,"zh_CN",1513403891507
processors,sysinfo,,,"4",1513403891507
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1513403891507
java.runtime.version,sysinfo,,,"1.6.0_65-b14-468-11M4833",1513403891507
java.specification.name,sysinfo,,,"Java Platform API Specification",1513403891507
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513403891507
java.specification.version,sysinfo,,,"1.6",1513403891507
java.vendor,sysinfo,,,"Apple Inc.",1513403891507
java.version,sysinfo,,,"1.6.0_65",1513403891507
java.vm.info,sysinfo,,,"mixed mode",1513403891507
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1513403891507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1513403891507
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1513403891507
java.vm.specification.version,sysinfo,,,"1.0",1513403891507
java.vm.vendor,sysinfo,,,"Apple Inc.",1513403891507
java.vm.version,sysinfo,,,"20.65-b04-468",1513403891507
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.VariableView",1513403943079
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1513403947631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403981337
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403982226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403983105
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403983783
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403991676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403992414
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513403995883
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404122264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404125117
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404171857
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404176356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404211499
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1513404222555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404223612
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404225869
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404236164
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404271134
error,log,,,"Internal Error",1513404275767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404279130
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404374662
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404382948
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404396931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404404678
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404499819
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513404500417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405327547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405340856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405347243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405351040
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405600692
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405603444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513405718463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406322682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406390031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406406891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406470237
started,bundle,org.eclipse.wst.server.core,1.1.206.v20110110,"org.eclipse.wst.server.core",1513406479142
started,bundle,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui",1513406479172
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1513406489090
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513406490896
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1513406493156
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513406502717
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1513406503236
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1513406505799
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1513406514445
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1513406518850
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1513406521022
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1513406521045
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1513406521057
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1513406521126
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1513406521133
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1513406521689
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1513406521708
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1513406521713
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1513406521721
error,log,,,"Internal Error",1513406524895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406528375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513406534657
