what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322443186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322448702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322449663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322496964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322499677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322499831
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1513322502324
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1513322502341
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1513322502353
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1513322502425
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1513322502429
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322511779
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322513897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322514014
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322553972
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322557058
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322559362
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findNext",1513322561236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322565708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322580457
error,log,,,"Internal Error",1513322586423
error,log,,,"Internal Error",1513322586583
error,log,,,"Internal Error",1513322595658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1513322602001
error,log,,,"Internal Error",1513322605931
error,log,,,"Internal Error",1513322615562
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1513322616565
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1513322621314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322633120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322635164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322645183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322652036
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322653445
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322733122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322752551
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322884677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322889491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322913585
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.cocoa.closeDialog",1513322913588
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322915297
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513322945233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513322946320
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1513322957415
