what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513408389217
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408395686
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408396350
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408397299
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408419922
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408420980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408433669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408438098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408439874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408442077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408489880
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408490826
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408522461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408523255
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408832403
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408833111
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408867255
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408868137
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408899734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408900593
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408919676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408920268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408938482
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408939747
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408945406
error,log,,,"Internal Error",1513408960396
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1513408971973
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1513408980638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408984912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408988200
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408988810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408998459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513408999302
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409038660
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1513409039849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409045192
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409091615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1513409095859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409096647
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409137203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409138158
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409181936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409182734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409405906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409406633
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1513409481596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409518988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1513409519651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409521128
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1513409521894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409526341
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1513409527580
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513409528295
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1513409535700
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513409536299
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409539840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1513409543688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1513409545210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409551122
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513409552151
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1513409553284
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1513409568764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1513409570530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1513409578924
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1513409579522
